2,2
3,2
4,2
5,2
6,2
8,2
2,3
4,3
5,3
6,3
8,3
1,4
4,4
9,4
10,4
2,5
3,5
4,5
5,5
6,5
8,5
1,6
4,6
1,7
4,7
8,7
1,8
4,8
8,8
9,8
2,9
5,9
8,9
1,10
4,10
5,10
8,10
1,11
4,11
5,11
6,11
8,11
1,12
4,12
5,12
8,12
1,13
4,13
5,13
6,13
8,13
1,14
4,14
2,15
4,15
5,15
6,15
8,15
2,16
4,16
5,16
8,16
2,17
4,17
8,17
2,18
4,18
1,19
4,19
5,19
8,19
2,20
4,20
5,20
8,20
1,21
4,21
5,21
8,21
2,22
3,22
4,22
5,22
6,22
8,22
1,23
4,23
5,23
6,23
8,23
2,24
4,24
5,24
8,24
9,24
10,24
2,25
4,25
5,25
6,25
8,25
1,26
4,26
5,26
8,26
1,27
5,27
8,27
9,27
1,28
4,28
5,28
8,28
2,29
4,29
5,29
6,29
8,29
1,30
4,30
5,30
8,30
2,31
3,31
4,31
5,31
6,31
8,31
1,32
2,32
3,32
6,32
8,32
2,33
4,33
9,33
10,33
2,34
1,35
6,35
8,35
1,36
3,36
1,37
2,37
4,37
5,37
8,37
1,38
4,38
5,38
8,38
2,39
2,40
4,40
8,40
10,40
2,41
4,41
5,41
8,41
1,42
2,42
4,42
5,42
6,42
8,42
1,43
4,43
6,43
8,43
11,43
1,44
4,44
9,44
10,44
1,45
4,45
8,45
2,46
2,47
4,47
8,47
2,48
4,48
5,48
6,48
8,48
1,49
2,50
4,50
5,50
8,50
2,51
1,52
4,52
5,52
8,52
1,53
4,53
5,53
8,53
2,54
4,54
1,55
2,55
3,55
4,55
5,55
8,55
9,55
10,55
1,56
4,56
9,56
10,56
1,57
4,57
5,57
6,57
8,57
2,58
4,58
5,58
6,58
9,58
10,58
1,59
4,59
9,59
10,59
2,60
4,60
5,60
7,60
8,60
1,61
5,61
8,61
2,62
4,62
5,62
8,62
1,63
4,63
5,63
7,63
8,63
2,64
4,64
5,64
7,64
8,64
1,65
4,65
5,65
8,65
1,66
4,66
8,66
9,66
10,66
1,67
4,67
8,67
10,67
2,68
4,68
5,68
8,68
1,69
1,70
4,70
8,70
1,71
5,71
2,72
4,72
5,72
8,72
9,72
10,72
2,73
4,73
8,73
1,74
4,74
5,74
10,74
2,75
4,75
5,75
8,75
9,75
10,75
1,76
4,76
5,76
2,77
4,77
8,77
10,77
11,77
2,78
4,78
5,78
8,78
1,79
4,79
2,80
4,80
10,80
1,81
4,81
10,81
1,82
4,82
9,82
10,82
1,83
4,83
5,83
9,83
10,83
2,84
4,84
8,84
1,85
5,85
2,86
4,86
10,86
2,87
4,87
10,87
1,88
4,88
10,88
1,89
10,89
2,90
4,90
10,90
2,91
4,91
10,91
2,92
5,92
6,92
8,92
