Khafre,4.4,4
Menkaure,4.5,4
Shepsekaf,4.6,4
Weserkaf,5.1,5
Sahure,5.2,5
Neferirkare,5.3,5
Neferefre,5.5,5
Niuserre,5.6,5
Menkauhor,5.7,5
Djedkare Izezy,5.8,5
Wenis,5.9,5
Teti,6.1,6
Pepy I,6.3,6
Merenre,6.4,6
Pepy II,6.5,6
