106,far,right,G1,K,A
106,near,left,G3,K,NV
107,far,right,G1,K,A
107,near,left,G3,T,NV
108,far,right,G3,T,NV
108,near,left,G2,NV,NV
109,far,right,G4,K,A
109,near,left,G3,T,NV
110,far,right,G4,,VA
110,near,left,G3,T,NV
111,far,right,G1,,
111,near,left,,,
112,far,right,,,
112,near,left,,,
113,far,right,G1,K,A
113,near,left,G2,NV,NV
114,near,right,U2,S,O
114,far,left,U3,T,VO
115,near,right,U4,S,S
115,far,left,U5,S,S
116,far,right,,,
116,near,left,G2,NV,NV
117,far,right,G1,BK,R
117,near,left,G2,NV,NV
118,far,right,G1,K,R
118,near,left,G3,T,NV
119,far,right,G1,AK,A
119,near,left,G2,NV,NV
120,near,right,G3,T,NV
120,far,left,G1,AK,O
121,far,right,G1,K,A
121,near,left,G2,NV,NV
122,far,right,G1,K,R
122,near,left,S2,K,NV
123,far,right,G1,K,R
123,near,left,S2,M,NV
124,near,right,G1,S,VO
124,far,left,G4,,VO
125,far,right,S3,NV,NV
125,near,left,S3,NV,NV
126,near,right,G2,NV,NV
126,far,left,G1,AK,O
127,near,right,G2,NV,NV
127,far,left,,AK,VO
128,near,right,G2,NV,NV
128,far,left,G1,AK,VO
129,far,right,G1,BK,R
129,near,left,S2,BK,NV
130,far,right,G4,BK,R
130,near,left,S2,BK,NV
131,far,right,,K,A
131,near,left,G2,NV,NV
132,far,right,S1,,R
132,near,left,,NV,NV
133,far,right,G8,K,R
133,near,left,G3,K,NV
134,near,right,G1,S,S
134,far,left,U6,BK,O
135,far,right,G1,AK,A
135,near,left,G2,NV,NV
136,far,right,G1,AK,R
136,near,left,G2,NV,NV
137,far,right,,K,R
137,near,left,,K,NV
138,far,right,,,
138,near,left,,,
139,far,right,G4,,
139,near,left,,,
140,far,right,G4,,
140,near,left,,,
